Date,Year,Event Type,Perpetrator,Country,Location,Latitude,Longitude,Fatalities,Summary
1-Jan-17,2017,Disrupted weapons use,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Maiduguri,11.8312,13.1517,1,"Detonation: A suspected Boko Haram suicide bomber detonated a pack at a customs area in Maiduguri, killing or injuring only herself."
1-Jan-17,2017,Attack,Unidentified Armed Group (Nigeria),Nigeria,Ikorodu,6.6155,3.5087,3,Unidentified gunmen shoot and kill three and injure others in Ikorodu.
2-Jan-17,2017,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Gubio,12.499,12.7848,15,15 hunters were beheaded by Boko Haram in Gubio LGA.
2-Jan-17,2017,Remote explosive/landmine/IED,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Igawa,11.1343,14.1417,1,"On 2 January, a military vehicle was hit by a landmine planted by Boko Haram in Igawa, Mayo Sava. One soldier dead and two wounded."
3-Jan-17,2017,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Glem,12.2715,14.6283,0,"On 3 January, Boko Haram fighters attacked Glem, Dabanga: one civilian wounded by gunfire, some food were seized."
3-Jan-17,2017,Looting/property destruction,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Kalguiwa,11.1556,14.1521,0,"Looting: On 3 January, Boko Haram fighters attacked Kalguiwa, Mora: two herds seized."
4-Jan-17,2017,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Sandawadjiri,11.1144,13.9339,0,"On 4 January, a Boko Haram incursion in Sandawadjiri, Mayo Sava, was repelled by local militia."
6-Jan-17,2017,Armed clash,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Ngourou,9.9165,13.4832,0,"On 6 January, Boko Haram fighters attacked Ngourou and were repelled by Cameroonian soldiers."
8-Jan-17,2017,Looting/property destruction,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Kolofata,11.1621,14.0115,0,"Looting: On 8 January, the villages of Mbanari and Bia around Kolofata were looted and several herds were seized by Boko Haram fighters."
8-Jan-17,2017,Suicide bomb,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Maiduguri,11.8312,13.1517,4,"Four persons, including two Boko Haram suicide bombers died in a suicide attack at Kaleri area of Gwange in Maiduguri."
8-Jan-17,2017,Attack,Unidentified Armed Group (Nigeria),Nigeria,Shiroro,9.96,6.8346,1,A 19-year-old student was killed in Angwa Umadi Village in Shiroro local government area of the state Saturday night by suspected cattle rustlers - identity not known.
9-Jan-17,2017,Armed clash,Islamic State (West Africa),Nigeria,Buni Yadi,11.2689,11.9994,20,"On 9 January 2017, 20 African coalition soldiers were killed in an attack by IS West Africa soldiers on their positions in the town of Buni Yadi."
11-Jan-17,2017,Armed clash,Islamic State (West Africa),Nigeria,Maiduguri,11.8312,13.1517,13,"On 11 January 2017, 13 Nigerian soldiers were killed and others injured in an attack by IS West Africa militants in the town of Anjini in Borno."
